team,matches_played,wins,draws,losses,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,win_rate,draw_rate,loss_rate,goal_difference
Norway,870,327,195,348,1347,1414,1.5482758620689656,1.625287356321839,0.3758620689655172,0.22413793103448276,0.4,-67
Thailand,863,339,204,320,1388,1279,1.608342989571263,1.482039397450753,0.3928157589803013,0.23638470451911936,0.3707995365005794,109
Austria,859,366,184,309,1540,1315,1.7927823050058207,1.530849825378347,0.42607683352735737,0.21420256111757857,0.359720605355064,225
Belgium,851,380,181,290,1543,1290,1.8131609870740306,1.5158636897767332,0.44653349001175086,0.21269095182138661,0.3407755581668625,253
Scotland,849,400,182,267,1446,1049,1.7031802120141342,1.2355712603062425,0.4711425206124853,0.2143698468786808,0.31448763250883394,397
Malaysia,835,327,192,316,1363,1211,1.6323353293413174,1.4502994011976047,0.3916167664670659,0.22994011976047904,0.3784431137724551,152
Chile,833,315,179,339,1174,1184,1.4093637454981993,1.4213685474189677,0.37815126050420167,0.2148859543817527,0.4069627851140456,-10
Finland,816,216,166,434,959,1669,1.1752450980392157,2.045343137254902,0.2647058823529412,0.2034313725490196,0.5318627450980392,-710
Zambia,793,358,203,232,1234,851,1.5561160151324085,1.073139974779319,0.4514501891551072,0.25598991172761665,0.29255989911727615,383
Japan,789,389,165,235,1442,910,1.8276299112801013,1.1533586818757922,0.49302915082382764,0.20912547528517111,0.29784537389100124,532
United States,788,350,161,277,1196,1044,1.517766497461929,1.3248730964467006,0.44416243654822335,0.20431472081218274,0.35152284263959394,152
Paraguay,782,274,208,300,999,1113,1.2774936061381075,1.4232736572890026,0.35038363171355497,0.2659846547314578,0.3836317135549872,-114
Spain,781,460,181,140,1598,701,2.0460947503201026,0.8975672215108835,0.58898847631242,0.23175416133162613,0.1792573623559539,897
Romania,764,334,194,236,1236,975,1.617801047120419,1.2761780104712042,0.43717277486910994,0.25392670157068065,0.3089005235602094,261
Egypt,754,378,185,191,1223,764,1.6220159151193634,1.013262599469496,0.5013262599469496,0.2453580901856764,0.253315649867374,459
Trinidad and Tobago,751,321,164,266,1268,999,1.688415446071904,1.3302263648468708,0.4274300932090546,0.21837549933422104,0.35419440745672437,269
Russia,746,383,197,166,1295,734,1.7359249329758712,0.9839142091152815,0.5134048257372654,0.2640750670241287,0.2225201072386059,561
Saudi Arabia,738,350,169,219,1134,775,1.5365853658536586,1.0501355013550135,0.4742547425474255,0.22899728997289973,0.2967479674796748,359
Bulgaria,734,262,187,285,1014,1102,1.3814713896457766,1.5013623978201636,0.3569482288828338,0.2547683923705722,0.388283378746594,-88
Wales,724,234,164,326,908,1157,1.2541436464088398,1.5980662983425415,0.32320441988950277,0.2265193370165746,0.45027624309392267,-249
Indonesia,723,279,142,302,1205,1173,1.6666666666666667,1.6224066390041494,0.38589211618257263,0.19640387275242047,0.41770401106500693,32
Costa Rica,722,316,178,228,1237,852,1.7132963988919667,1.18005540166205,0.4376731301939058,0.24653739612188366,0.3157894736842105,385
Peru,712,230,176,306,856,994,1.202247191011236,1.396067415730337,0.32303370786516855,0.24719101123595505,0.4297752808988764,-138
Kenya,705,268,175,262,977,957,1.3858156028368793,1.3574468085106384,0.3801418439716312,0.24822695035460993,0.37163120567375885,20
Northern Ireland,705,184,160,361,739,1293,1.04822695035461,1.8340425531914895,0.26099290780141843,0.22695035460992907,0.5120567375886524,-554
China PR,700,338,153,209,1283,767,1.832857142857143,1.0957142857142856,0.4828571428571429,0.21857142857142858,0.2985714285714286,516
